"Quality","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","chlorides"
"Low",7.3,0.24,0.34,7.5,29,152,0.9962,3.1,0.54,9,"Little"
"Low",7.6,0.29,0.42,1.3,18,86,0.9908,2.99,0.39,11.3,"Little"
"Low",9.4,0.29,0.55,2.2,17,119,0.9962,3.12,0.69,10.3,"Lots"
"Low",7,0.31,0.52,1.7,5,61,0.9918,3.07,0.43,10.4,"Little"
"Low",8.6,0.26,0.41,2.2,29,111,0.9941,2.96,0.44,10,"Little"
"Low",7.2,0.51,0.24,10,35,197,0.9981,3.41,0.47,9,"Lots"
"Low",5.3,0.3,0.2,1.1,48,166,0.9944,3.3,0.54,8.7,"Lots"
"High",8,0.26,0.36,2,30,121,0.992,3.09,0.72,11.6,"Lots"
"Low",7,0.21,0.28,7.5,45,185,0.9966,3.34,0.55,9.4,"Lots"
"Low",6.7,0.26,0.26,4,35.5,216,0.9956,3.31,0.68,9.5,"Lots"
"Low",6.7,0.26,0.26,4.1,36,202,0.9956,3.3,0.67,9.5,"Lots"
"Low",8.3,0.22,0.38,14.8,32,126,1.0002,3.22,0.5,9.7,"Lots"
"High",7.5,0.19,0.34,2.6,33,125,0.9923,3.1,0.49,11.1,"Little"
"High",8.8,0.33,0.44,6.35,9,87,0.9917,2.96,0.4,12.6,"Little"
"High",8,0.37,0.32,1.6,32,166,0.992,3,0.55,11.3,"Little"
"Low",8.3,0.22,0.38,14.8,32,126,1.0002,3.22,0.5,9.7,"Lots"
"High",8.2,0.29,0.33,9.1,28,118,0.9953,2.96,0.4,10.9,"Little"
"Low",7.7,0.34,0.3,8,25,192,0.9951,2.97,0.47,10.9,"Little"
"High",6.4,0.4,0.19,3.2,28,124,0.9904,3.22,0.54,12.7,"Little"
"Low",7.8,0.26,0.44,1.3,43,132,0.9944,3.18,0.65,10,"Little"
"Low",6.5,0.26,0.34,16.3,56,197,1.0004,3.49,0.42,9.8,"Lots"
"High",6.8,0.15,0.33,4.7,31,118,0.9956,3.43,0.39,9,"Lots"
"High",6.3,0.23,0.21,5.1,29,142,0.9942,3.36,0.33,10.1,"Little"
"Low",7.3,0.31,0.69,10.2,58,160,0.9977,3.06,0.45,8.6,"Little"
"High",5.2,0.24,0.45,3.8,21,128,0.992,3.55,0.49,11.2,"Little"
"High",7,0.24,0.32,1.3,39,123,0.992,3.17,0.42,11.2,"Little"
"High",7,0.17,0.33,4,17,127,0.9934,3.19,0.39,10.6,"Little"
"High",8.4,0.17,0.31,6.7,29,132,0.9945,3.1,0.32,10.6,"Little"
"Low",7.4,0.24,0.31,8.4,52,183,0.9963,3.09,0.32,8.8,"Little"
"High",5.3,0.24,0.33,1.3,25,97,0.9906,3.59,0.38,11,"Little"
"High",6.3,0.23,0.21,5.1,29,142,0.9942,3.36,0.33,10.1,"Little"
"High",5.8,0.29,0.21,2.6,12,120,0.9894,3.39,0.79,14,"Little"
"Low",6.3,0.16,0.4,1.6,59,148,0.9914,3.44,0.53,11.4,"Little"
"Low",7.9,0.29,0.39,6.7,6,117,0.9938,3.12,0.42,10.7,"Little"
"Low",7.3,0.31,0.69,10.2,58,160,0.9977,3.06,0.45,8.6,"Little"
"High",5.5,0.32,0.45,4.9,25,191,0.9922,3.51,0.49,11.5,"Little"
"High",5.2,0.24,0.45,3.8,21,128,0.992,3.55,0.49,11.2,"Little"
"High",7.2,0.37,0.15,2,27,87,0.9903,3.3,0.59,12.6,"Little"
"High",6.1,0.29,0.27,1.7,13,76,0.9893,3.21,0.51,12.6,"Little"
"Low",9.2,0.22,0.4,2.4,18,151,0.9952,3.04,0.46,9.3,"Lots"
"High",7.2,0.37,0.15,2,27,87,0.9903,3.3,0.59,12.6,"Little"
"Low",7.4,0.18,0.4,1.6,22,102,0.9937,3.28,0.44,10.7,"Little"
"Low",6.5,0.52,0.17,1.4,5,26,0.9932,3.26,0.32,10,"Little"
"High",7,0.15,0.38,2.2,33,96,0.9928,3.13,0.39,10.4,"Little"
"Low",5.9,0.415,0.13,1.4,11,64,0.9922,3.29,0.52,10.5,"Little"
"Low",8.1,0.45,0.34,8.3,33,216,0.9976,3.31,0.64,9.7,"Little"
"Low",5.8,0.415,0.13,1.4,11,64,0.9922,3.29,0.52,10.5,"Little"
"Low",6.4,0.5,0.16,12.9,26,138,0.9974,3.28,0.33,9,"Little"
"High",6.6,0.25,0.39,1.45,40,89,0.9911,3.35,0.4,11.4,"Little"
"Low",9.8,0.36,0.45,1.6,11,124,0.9944,2.93,0.46,10.8,"Little"
"Low",9.6,0.23,0.4,1.5,19,135,0.9937,2.96,0.49,10.9,"Little"
"High",6.5,0.115,0.29,1.95,73,166,0.989,3.12,0.25,12.9,"Little"
"High",6.4,0.125,0.29,5.85,24,99,0.992,3.23,0.32,12,"Little"
"Low",5.7,0.1,0.27,1.3,21,100,0.9928,3.27,0.46,9.5,"Little"
"High",7.9,0.25,0.29,5.3,33,117,0.9918,3.06,0.32,11.8,"Little"
"Low",6.8,0.39,0.31,14.35,28,162,0.9988,3.17,0.54,9.1,"Little"
"Low",8.7,0.22,0.42,2.3,27,114,0.994,2.99,0.43,10,"Lots"
"Low",7.4,0.41,0.34,4.7,19,127,0.9953,3.25,0.42,10.4,"Little"
"High",6,0.26,0.42,5.2,70,178,0.9914,3.4,0.4,12.3,"Little"
"High",6.1,0.31,0.37,8.4,70,170,0.9934,3.42,0.4,11.7,"Little"
"Low",9.2,0.28,0.46,3.2,39,133,0.996,3.14,0.58,9.5,"Lots"
"Low",9,0.31,0.49,6.9,26,91,0.9937,2.99,0.34,11.5,"Little"
"Low",9.3,0.34,0.49,7.3,30,146,0.998,3.17,0.61,10.2,"Lots"
"Low",9.2,0.28,0.46,3.2,39,133,0.996,3.14,0.58,9.5,"Lots"
"Low",7.2,0.24,0.3,1.6,27,131,0.9933,3.25,0.45,10.5,"Little"
"Low",7.2,0.25,0.32,1.5,27,132,0.9933,3.26,0.44,10.5,"Little"
"Low",6.8,0.32,0.18,7.5,71,223,0.9959,3.14,0.41,8.9,"Little"
"Low",9.1,0.27,0.32,1.1,15,151,0.9936,3.03,0.41,10.6,"Little"
"Low",8.9,0.34,0.32,1.3,12,188,0.9953,3.17,0.49,9.5,"Little"
"Low",6.7,0.25,0.23,7.2,61,220,0.9952,3.14,0.35,9.5,"Little"
"Low",6.9,0.32,0.17,7.6,69,219,0.9959,3.13,0.4,8.9,"Little"
"Low",6.8,0.32,0.18,7.5,71,223,0.9959,3.14,0.41,8.9,"Little"
"Low",6.1,0.6,0,1.3,24,79,0.9937,3.31,0.38,9.4,"Little"
"Low",7.9,0.16,0.3,4.8,37,171,0.9967,3.47,0.44,9,"Little"
"Low",7.6,0.33,0.36,2.1,26,172,0.9944,3.42,0.48,10.5,"Little"
"High",6.6,0.25,0.41,7.4,29,151,0.9946,3.15,0.6,10.2,"Little"
"Low",6,0.24,0.32,6.3,34,129,0.9946,3.52,0.41,10.4,"Little"
"Low",6.1,0.45,0.27,0.8,13,82,0.9927,3.23,0.32,9.5,"Little"
"Low",7.2,0.2,0.38,1,21,74,0.9918,3.21,0.37,11,"Little"
"Low",8.2,0.61,0.45,5.4,15,118,0.9954,3.14,0.34,9.6,"Little"
"Low",7.4,0.22,0.33,2,31,101,0.9931,3.42,0.55,11.4,"Little"
"Low",6.4,0.25,0.41,8.6,57,173,0.9965,3,0.44,9.1,"Little"
"High",6.3,0.32,0.35,11.1,29,198,0.9984,3.36,0.5,9.4,"Little"
"Low",9.8,0.44,0.4,2.8,35,167,0.9956,2.97,0.39,9.2,"Little"
"Low",7.2,0.2,0.25,4.5,31,109,0.9949,3.23,0.36,9.4,"Little"
"Low",8.2,0.61,0.45,5.4,15,118,0.9954,3.14,0.34,9.6,"Little"
"Low",7.4,0.22,0.33,2,31,101,0.9931,3.42,0.55,11.4,"Little"
"High",7.9,0.46,0.32,4.1,40,138,0.9912,3.18,0.44,12.8,"Little"
"Low",6.5,0.41,0.64,11.8,65,225,0.9978,3.12,0.51,8.9,"Lots"
"Low",7.5,0.32,0.37,1.2,22,184,0.9938,3.09,0.43,9.3,"Little"
"High",6.6,0.21,0.38,2.2,40,104,0.9914,3.25,0.4,11.1,"Little"
"Low",7.6,0.26,0.47,1.6,5,55,0.9944,3.1,0.45,9.6,"Lots"
"High",6.9,0.25,0.26,5.2,36,135,0.9948,3.16,0.72,10.7,"Little"
"High",7.3,0.22,0.4,14.75,44.5,129.5,0.9998,3.36,0.41,9.1,"Little"
"High",6.9,0.25,0.26,5.2,36,135,0.9948,3.16,0.72,10.7,"Little"
"High",7.3,0.22,0.4,14.75,44.5,129.5,0.9998,3.36,0.41,9.1,"Little"
"High",7.4,0.25,0.37,6.9,14,93,0.9939,3,0.48,10.7,"Little"
"High",7,0.17,0.37,1.5,26,75,0.9922,3.3,0.46,10.8,"Little"
"Low",6.4,0.3,0.38,7.8,35,192,0.9955,3.1,0.37,9,"Little"
"Low",8.9,0.33,0.32,1.5,11,200,0.9954,3.19,0.46,9.4,"Little"
"Low",6.4,0.3,0.38,7.8,35,192,0.9955,3.1,0.37,9,"Little"
"Low",7.3,0.27,0.39,6.7,28,188,0.9958,3.29,0.3,9.7,"Lots"
"Low",8,0.28,0.42,7.1,41,169,0.9959,3.17,0.43,10.6,"Little"
"High",8.2,0.37,0.36,1,17,93,0.9906,3.04,0.32,11.7,"Little"
"Low",8,0.61,0.38,12.1,24,220,0.9993,2.94,0.48,9.2,"Lots"
"High",7.2,0.26,0.44,7.1,25,126,0.993,3.02,0.34,11.1,"Little"
"High",8.2,0.37,0.36,1,17,93,0.9906,3.04,0.32,11.7,"Little"
"High",5.9,0.4,0.32,6,50,127,0.992,3.51,0.58,12.5,"Little"
"Low",8,0.28,0.42,7.1,41,169,0.9959,3.17,0.43,10.6,"Little"
"High",7.2,0.23,0.39,2.3,29,102,0.9908,3.26,0.54,12.3,"Little"
"High",7.2,0.23,0.39,2.3,29,102,0.9908,3.26,0.54,12.3,"Little"
"Low",6.9,0.18,0.38,6.5,20,110,0.9943,3.1,0.42,10.5,"Little"
"Low",8.3,0.33,0.42,1.15,18,96,0.9911,3.2,0.32,12.4,"Little"
"High",7.9,0.41,0.37,4.5,40,114,0.992,3.17,0.54,12.4,"Little"
"High",7.9,0.44,0.37,5.85,27,93,0.992,3.16,0.54,12.6,"Little"
"Low",7.8,0.32,0.31,1.7,46,195,0.993,3.03,0.48,10.5,"Little"
"Low",7.3,0.24,0.39,3.6,35,116,0.9928,3.17,0.51,10.9,"Little"
"High",7.1,0.44,0.37,2.7,35,128,0.9896,3.07,0.43,13.5,"Little"
"Low",10.3,0.25,0.48,2.2,28,164,0.998,3.19,0.59,9.7,"Little"
"High",7.4,0.18,0.42,2.1,33,187,0.9938,3.4,0.41,10.6,"Little"
"High",8.1,0.43,0.42,6.6,36,141,0.9918,2.98,0.39,13.3,"Little"
"High",7.1,0.44,0.37,2.7,35,128,0.9896,3.07,0.43,13.5,"Little"
"Low",6.4,0.26,0.22,5.1,23,131,0.9944,3.29,0.32,10.1,"Little"
"Low",8,0.66,0.72,17.55,62,233,0.9999,2.92,0.68,9.4,"Little"
"High",8,0.2,0.4,5.2,41,167,0.9953,3.18,0.4,10.6,"Lots"
"High",7.2,0.18,0.31,1.1,20,73,0.9925,3.32,0.4,10.8,"Little"
"Low",8.4,0.57,0.44,10.7,46,195,0.9981,3.15,0.51,10.4,"Lots"
"High",5.3,0.26,0.23,5.15,48,160,0.9952,3.82,0.51,10.5,"Little"
"Low",5.7,0.245,0.33,1.1,28,150,0.9927,3.13,0.42,9.3,"Little"
"High",7.3,0.25,0.41,1.8,52,165,0.9911,3.29,0.39,12.2,"Little"
"Low",7,0.16,0.73,1,58,150,0.9936,3.08,0.3,9.2,"Lots"
"Low",7.2,0.14,0.35,1.2,15,73,0.9938,3.46,0.39,9.9,"Little"
"High",6.9,0.31,0.34,7.4,36,174,0.9963,3.46,0.62,11.1,"Lots"
"High",7.5,0.28,0.34,4.2,36,116,0.991,2.99,0.41,12.3,"Little"
"High",8,0.22,0.42,14.6,45,163,1.0003,3.21,0.69,8.6,"Little"
"Low",7.6,0.31,0.29,10.5,21,145,0.9966,3.04,0.35,9.4,"Little"
"High",8,0.22,0.42,14.6,45,163,1.0003,3.21,0.69,8.6,"Little"
"Low",8.1,0.5,0.47,1.1,23,126,0.9938,3.21,0.42,10.9,"Little"
"Low",7,0.39,0.31,5.3,32,162,0.9965,3.2,0.48,9.4,"Lots"
"Low",8.1,0.5,0.47,1.1,23,126,0.9938,3.21,0.42,10.9,"Little"
"High",8,0.22,0.42,14.6,45,163,1.0003,3.21,0.69,8.6,"Little"
"Low",7.6,0.31,0.29,10.5,21,145,0.9966,3.04,0.35,9.4,"Little"
"High",7.7,0.27,0.34,1.8,26,168,0.9911,2.99,0.48,12.1,"Little"
"Low",7.4,0.31,0.74,10.7,51,147,0.9977,3.02,0.43,8.7,"Little"
"High",8,0.45,0.36,8.8,50,151,0.9927,3.07,0.25,12.7,"Little"
"High",7.7,0.27,0.34,1.8,26,168,0.9911,2.99,0.48,12.1,"Little"
"High",6.6,0.16,0.29,1.8,40,147,0.9912,3.06,0.44,11.4,"Lots"
"High",8.3,0.21,0.4,1.6,35,110,0.9907,3.02,0.6,12.9,"Little"
"High",7.2,0.32,0.33,1.4,29,109,0.9902,3.15,0.51,12.8,"Little"
"Low",6.9,0.39,0.22,4.3,10,102,0.993,3,0.87,11.6,"Little"
"Low",6.9,0.41,0.22,4.2,10,102,0.993,3,0.86,11.6,"Little"
"High",7.3,0.42,0.38,6.8,29,122,0.9925,3.19,0.37,12.6,"Little"
"Low",7.8,0.23,0.28,4.75,45,166,0.9928,2.96,0.4,11.5,"Little"
"Low",6.9,0.2,0.4,7.7,51,176,0.9939,3.22,0.27,11.4,"Little"
"Low",8,0.59,0.71,17.35,61,228,1,2.95,0.75,9.3,"Little"
"High",7.9,0.14,0.45,1.8,17,114,0.9948,3.33,0.49,10.7,"Lots"
"High",6.8,0.24,0.4,1.8,34,105,0.99,3.13,0.49,12.8,"Little"
"Low",9.7,0.14,0.59,1.5,23,142,0.9958,2.98,0.62,9.5,"Little"
"Low",9.6,0.25,0.54,1.3,16,160,0.9938,2.94,0.43,10.5,"Little"
"Low",9.2,0.32,0.42,1.3,14,186,0.9949,3.08,0.48,9.6,"Little"
"Low",7,0.15,0.34,1.4,21,177,0.9927,3.32,0.62,10.8,"Little"
"Low",6.4,0.25,0.53,6.6,59,234,0.9955,3.03,0.42,8.8,"Little"
"Low",6.2,0.2,0.26,1.7,40,161,0.9924,3.44,0.66,11,"Lots"
"High",7.7,0.32,0.48,2.3,28,114,0.9911,3.2,0.52,12.8,"Little"
"Low",8.4,0.19,0.43,2.1,20,104,0.994,2.85,0.46,9.5,"Lots"
"Low",8.3,0.21,0.41,2.2,24,108,0.994,2.85,0.45,9.5,"Lots"
"High",7.9,0.16,0.64,17,69,210,1.0004,3.15,0.51,9.3,"Lots"
"High",7.8,0.21,0.39,1.8,62,180,0.991,3.09,0.75,12.6,"Little"
"High",7.8,0.29,0.36,7,38,161,0.9941,3.26,0.37,11.2,"Little"
"Low",6.7,0.18,0.3,6.4,40,251,0.9956,3.29,0.52,10,"Little"
"Low",6.7,0.18,0.3,6.4,40,251,0.9956,3.29,0.52,10,"Little"
"Low",7.6,0.54,0.23,2,13,151,0.9931,3.04,0.33,10.4,"Little"
"High",7.3,0.23,0.37,1.9,51,165,0.9908,3.26,0.4,12.2,"Little"
"High",7.3,0.39,0.37,1.1,36,113,0.991,3.39,0.48,12.7,"Little"
"High",7,0.46,0.39,6.2,46,163,0.9928,3.21,0.35,12.2,"Little"
"High",8.2,0.35,0.4,6.3,35,162,0.9936,3.15,0.34,11.9,"Little"
"High",7.8,0.29,0.36,7,38,161,0.9941,3.26,0.37,11.2,"Little"
"Low",9.2,0.35,0.39,0.9,15,61,0.9924,2.96,0.28,10.4,"Little"
"High",8,0.57,0.39,3.9,22,122,0.9917,3.29,0.67,12.8,"Little"
"High",6.5,0.37,0.33,3.9,40,130,0.9906,3.28,0.39,12.7,"Little"
"Low",6.7,0.18,0.3,6.4,40,251,0.9956,3.29,0.52,10,"Little"
"Low",7.8,0.13,0.3,1.8,43,179,0.9955,3.43,0.41,9,"Little"
"Low",7.6,0.19,0.41,1.1,38,143,0.9907,2.92,0.42,11.4,"Little"
"High",6.8,0.35,0.32,2.4,35,103,0.9911,3.28,0.46,12,"Little"
"High",6.5,0.19,0.32,1.4,31,132,0.9922,3.36,0.54,10.8,"Little"
"High",6,0.13,0.28,5.7,56,189.5,0.9948,3.59,0.43,10.6,"Little"
"High",6.4,0.25,0.33,1.4,42,115,0.9906,3.19,0.48,11.3,"Little"
"Low",6.9,0.32,0.16,1.4,15,96,0.994,3.22,0.38,9.5,"Lots"
"Low",7.6,0.19,0.41,1.1,38,143,0.9907,2.92,0.42,11.4,"Little"
"High",6.7,0.13,0.28,1.2,35,140,0.9927,3.33,0.33,10.1,"Little"
"Low",7.6,0.27,0.24,3.8,19,115,0.9958,3.15,0.45,8.9,"Lots"
"Low",7.4,0.64,0.47,14.15,42,185,0.9984,2.9,0.49,9.3,"Lots"
"High",8.3,0.26,0.41,9.2,41,162,0.9944,3.1,0.38,12,"Little"
"High",6.9,0.23,0.34,2.7,24,121,0.9902,3.14,0.38,12.4,"Little"
"High",6.2,0.3,0.32,1.7,30,130,0.9911,3.28,0.41,11.2,"Little"
"High",6.9,0.28,0.3,1.6,46,132,0.9918,3.35,0.38,11.1,"Little"
"High",6.9,0.38,0.32,8.5,36,152,0.9932,3.38,0.35,12,"Little"
"High",5.7,0.43,0.3,5.7,24,98,0.992,3.54,0.61,12.3,"Little"
"Low",6.2,0.33,0.29,1.3,26,138,0.9956,3.77,0.64,9.5,"Little"
"High",5.6,0.49,0.13,4.5,17,116,0.9907,3.42,0.9,13.7,"Little"
"High",7.3,0.18,0.29,1.2,12,143,0.9918,3.2,0.48,11.3,"Little"
"High",5.6,0.49,0.13,4.5,17,116,0.9907,3.42,0.9,13.7,"Little"
"High",6.9,0.19,0.33,1.6,27,98,0.9898,3.09,0.46,12.3,"Little"
"High",7.3,0.18,0.29,1.2,12,143,0.9918,3.2,0.48,11.3,"Little"
"High",7.3,0.25,0.36,13.1,35,200,0.9986,3.04,0.46,8.9,"Lots"
"High",7.3,0.25,0.36,13.1,35,200,0.9986,3.04,0.46,8.9,"Lots"
"High",7.3,0.25,0.36,13.1,35,200,0.9986,3.04,0.46,8.9,"Lots"
"High",7.4,0.4,0.29,5.4,31,122,0.994,3.3,0.5,11.1,"Little"
"High",7.1,0.26,0.31,2.2,29,128,0.9937,3.34,0.64,10.9,"Little"
"Low",9,0.31,0.48,6.6,11,73,0.9938,2.9,0.38,11.6,"Little"
"Low",6.3,0.39,0.24,6.9,9,117,0.9942,3.15,0.35,10.2,"Lots"
"High",8.2,0.22,0.36,6.8,12,90,0.9944,3.01,0.38,10.5,"Little"
"High",7.3,0.25,0.36,13.1,35,200,0.9986,3.04,0.46,8.9,"Lots"
"High",6.9,0.3,0.33,4.1,26,155,0.9925,3.25,0.79,12.3,"Little"
"Low",5.9,0.415,0.02,0.8,22,63,0.9932,3.36,0.36,9.3,"Little"
"Low",8.6,0.55,0.35,15.55,35.5,366.5,1.0001,3.04,0.63,11,"Lots"
"Low",6.9,0.35,0.74,1,18,132,0.992,3.13,0.55,10.2,"Little"
"High",7.6,0.14,0.74,1.6,27,103,0.9916,3.07,0.4,10.8,"Little"
"Low",9.2,0.28,0.49,11.8,29,137,0.998,3.1,0.34,10.1,"Little"
"Low",5.3,0.165,0.24,1.1,25,105,0.9925,3.32,0.47,9.1,"Lots"
"Low",9.8,0.25,0.74,10,36,225,0.9977,3.06,0.43,10,"Lots"
"Low",7.4,0.25,0.49,1.1,35,156,0.9917,3.13,0.55,11.3,"Little"
"High",8.2,0.18,0.49,1.1,28,81,0.9923,3,0.68,10.4,"Little"
"Low",6.1,0.22,0.49,1.5,18,87,0.9928,3.3,0.46,9.6,"Lots"
"Low",7,0.39,0.24,1,8,119,0.9923,3,0.31,10.1,"Little"
"Low",6.1,0.22,0.49,1.5,18,87,0.9928,3.3,0.46,9.6,"Lots"
"High",6.5,0.36,0.49,2.9,16,94,0.9902,3.1,0.49,12.1,"Little"
"Low",7.4,0.25,0.49,1.1,35,156,0.9917,3.13,0.55,11.3,"Little"
"Low",6.9,0.23,0.24,14.2,19,94,0.9982,3.17,0.5,9.6,"Lots"
"Low",8.5,0.56,0.74,17.85,51,243,1.0005,2.99,0.7,9.2,"Lots"
"High",8.2,0.18,0.49,1.1,28,81,0.9923,3,0.68,10.4,"Little"
"Low",6.3,0.23,0.49,7.1,67,210,0.9951,3.23,0.34,9.5,"Lots"
"Low",6.1,0.25,0.49,7.6,67,226,0.9956,3.16,0.47,8.9,"Lots"
"Low",7.2,0.26,0.74,13.6,56,162,0.998,3.03,0.44,8.8,"Lots"
"Low",7.2,0.31,0.24,1.4,17,117,0.9928,3.16,0.35,10.5,"Lots"
"Low",8,0.25,0.49,1.2,27,117,0.9938,3.08,0.34,9.4,"Lots"
"Low",7.2,0.4,0.49,1.1,11,138,0.9929,3.01,0.42,9.3,"Little"
"High",7.6,0.52,0.49,14,37,156,0.9958,3.14,0.38,11.8,"Little"
"Low",8.3,0.21,0.49,19.8,50,231,1.0012,2.99,0.54,9.2,"Lots"
"Low",6.9,0.34,0.74,11.2,44,150,0.9968,3,0.81,9.2,"Lots"
"High",8,0.44,0.49,9.1,46,151,0.9926,3.16,0.27,12.7,"Little"
"Low",7,0.2,0.74,0.8,19,163,0.9931,3.46,0.53,10.2,"Little"
"High",7.1,0.25,0.49,3,30,96,0.9903,3.13,0.39,12.3,"Little"
"Low",6.5,0.24,0.24,1.6,15,60,0.9928,3.19,0.39,9.8,"Little"
"Low",7.2,0.4,0.49,1.1,11,138,0.9929,3.01,0.42,9.3,"Little"
"High",7.6,0.52,0.49,14,37,156,0.9958,3.14,0.38,11.8,"Little"
"Low",7.8,0.21,0.49,1.35,6,48,0.9911,3.15,0.28,11.4,"Lots"
"Low",6.9,0.25,0.24,3.6,13,85,0.9942,2.99,0.48,9.5,"Lots"
"Low",7.1,0.85,0.49,8.7,40,184,0.9962,3.22,0.36,10.7,"Little"
"Low",6.9,0.25,0.24,3.6,13,85,0.9942,2.99,0.48,9.5,"Lots"
"Low",7.5,0.32,0.24,4.6,8,134,0.9958,3.14,0.5,9.1,"Lots"
"Low",7.9,0.16,0.74,17.85,52,187,0.9998,2.99,0.41,9.3,"Little"
"Low",7.5,0.2,0.49,1.3,8,97,0.9918,3.06,0.62,11.1,"Little"
"Low",8,0.3,0.49,9.4,47,188,0.9964,3.14,0.48,10,"Little"
"High",8,0.34,0.49,9,39,180,0.9936,3.13,0.38,12.3,"Little"
"High",7.7,0.35,0.49,8.65,42,186,0.9931,3.14,0.38,12.4,"Little"
"High",7.6,0.29,0.49,9.6,45,197,0.9938,3.13,0.38,12.3,"Little"
"Low",6.7,0.62,0.24,1.1,6,62,0.9934,3.41,0.32,10.4,"Little"
"High",6.8,0.27,0.49,1.2,35,126,0.99,3.13,0.48,12.1,"Little"
"High",7.4,0.19,0.49,9.3,26,132,0.994,2.99,0.32,11,"Little"
"Low",8.3,0.2,0.49,1.7,34,169,0.9938,3.05,0.37,10.1,"Little"
"Low",6.6,0.3,0.24,1.2,17,121,0.9933,3.13,0.36,9.2,"Little"
"High",6.8,0.36,0.24,4.6,24,124,0.9909,3.27,0.34,12.6,"Little"
"High",7,0.17,0.74,12.8,24,126,0.9942,3.26,0.38,12.2,"Little"
"High",9.2,0.18,0.49,1.5,39,130,0.9945,3.04,0.49,9.8,"Little"
"Low",7.9,0.2,0.49,1.6,15,144,0.993,3.16,0.47,10.5,"Lots"
"Low",8,0.18,0.49,1.8,10,145,0.9942,3.23,0.48,10,"Lots"
"High",7.3,0.22,0.49,9.4,29,134,0.9939,2.99,0.32,11,"Little"
"High",7.4,0.19,0.49,9.3,26,132,0.994,2.99,0.32,11,"Little"
"Low",8.3,0.2,0.49,1.7,34,169,0.9938,3.05,0.37,10.1,"Little"
"Low",6.6,0.3,0.24,1.2,17,121,0.9933,3.13,0.36,9.2,"Little"
"Low",6.9,0.21,0.49,1.4,15,164,0.9927,3.25,0.63,11,"Little"
"Low",7.2,0.27,0.74,12.5,47,156,0.9981,3.04,0.44,8.7,"Little"
"Low",7.2,0.27,0.74,12.5,47,156,0.9981,3.04,0.44,8.7,"Little"
"High",8.1,0.3,0.49,8.1,26,174,0.9943,3.1,0.3,11.2,"Little"
"High",7.5,0.23,0.49,7.7,61,209,0.9941,3.14,0.3,11.1,"Little"
"Low",8.9,0.13,0.49,1,6,24,0.9926,2.91,0.32,9.9,"Little"
"Low",7.1,0.53,0.24,0.8,29,86,0.993,3.16,0.32,9.1,"Little"
"Low",8.9,0.13,0.49,1,6,24,0.9926,2.91,0.32,9.9,"Little"
"High",7.3,0.21,0.49,1.8,44,152,0.9912,3.32,0.44,12.6,"Little"
"High",6.9,0.3,0.49,7.6,25,156,0.9962,3.43,0.63,11,"Lots"
"High",7.9,0.42,0.49,8.2,32,164,0.9965,3.29,0.6,11.2,"Lots"
"High",6.9,0.24,0.49,1.3,35,148,0.9932,3.45,0.57,10.7,"Little"
"Low",6.2,0.43,0.49,6.4,12,115,0.9963,3.27,0.57,9,"Little"
"Low",8.8,0.35,0.49,1,14,56,0.992,2.96,0.33,10.5,"Little"
"Low",9.1,0.28,0.49,2,10,112,0.9958,3.15,0.46,10.1,"Lots"
"High",7.1,0.34,0.49,1.5,26,126,0.99,3.3,0.33,12.2,"Little"
"Low",9.1,0.28,0.49,2,10,112,0.9958,3.15,0.46,10.1,"Lots"
"Low",7.6,0.18,0.49,18.05,36,158,0.9996,3.06,0.41,9.2,"Little"
"Low",7.5,0.19,0.49,1.8,19,110,0.9946,3.33,0.44,9.9,"Lots"
"Low",6.7,0.3,0.74,5,35,157,0.9945,3.21,0.46,9.9,"Little"
"Low",6.6,0.3,0.74,4.6,36,159,0.9946,3.21,0.45,9.9,"Little"
"Low",7.8,0.26,0.49,3.1,21,116,0.9931,3.16,0.35,10.3,"Little"
"Low",8.5,0.17,0.49,8.8,23,108,0.9947,2.88,0.34,10.5,"Little"
"Low",7.1,0.64,0.49,1.8,17,128,0.9946,3.31,0.58,10.6,"Lots"
"Low",6.4,0.18,0.74,11.9,54,168,0.9978,3.58,0.68,10.1,"Little"
"Low",7.6,0.31,0.49,13.4,50,191,0.9989,3.22,0.53,9,"Lots"
"Low",9.8,0.31,0.49,15.4,13,119,1.0004,3.18,0.45,9.5,"Little"
"High",8.4,0.24,0.49,7.4,46,108,0.9934,3.03,0.33,11.9,"Little"
"Low",6.4,0.18,0.74,11.9,54,168,0.9978,3.58,0.68,10.1,"Little"
"Low",7.3,0.3,0.74,13.5,46,165,0.9982,3.02,0.4,8.7,"Little"
"Low",9.3,0.31,0.49,1.3,34,147,0.9948,3.11,0.46,9.8,"Little"
"Low",7.3,0.3,0.74,13.5,46,165,0.9982,3.02,0.4,8.7,"Little"
"Low",6.6,0.55,0.01,2.7,56,122,0.9906,3.15,0.3,11.9,"Little"
"Low",5.6,0.39,0.24,4.7,27,77,0.9906,3.28,0.36,12.7,"Little"
"High",5.6,0.41,0.24,1.9,10,53,0.98815,3.32,0.5,13.5,"Little"
"Low",6.7,0.41,0.01,2.8,39,137,0.9942,3.24,0.35,9.5,"Little"
"High",7.1,0.26,0.49,2.2,31,113,0.9903,3.37,0.42,12.9,"Little"
"High",5.8,0.19,0.49,4.9,44,118,0.9935,3.34,0.38,9.5,"Little"
